,filename,msePTC,rmsePTC,distCNTRD,"rmsePTC (x,y,z)",stdPTC
0,file1901_frac_1,0.00017,0.013,0.012,[0.003 0.008 0.01 ],6e-05
1,file1901_frac_10,0.00433,0.066,0.063,[0.018 0.059 0.024],0.0015
2,file1901_frac_11,0.00058,0.024,0.022,[0.008 0.014 0.018],0.00016
3,file1901_frac_12,5e-05,0.007,0.007,[0.    0.007 0.002],2e-05
4,file1901_frac_13,2e-05,0.005,0.004,[0.    0.005 0.001],1e-05
5,file1901_frac_14,0.00026,0.016,0.015,[0.004 0.014 0.007],0.0001
6,file1901_frac_15,0.00061,0.025,0.024,[0.002 0.023 0.009],0.00026
7,file1901_frac_16,0.00127,0.036,0.03,[0.011 0.026 0.021],0.00047
8,file1901_frac_17,1e-05,0.003,0.002,[0.002 0.002 0.002],0.0
9,file1901_frac_18,2e-05,0.005,0.004,[0.001 0.004 0.003],1e-05
10,file1901_frac_2,5e-05,0.007,0.005,[0.003 0.005 0.004],2e-05
11,file1901_frac_20,0.00839,0.092,0.092,[0.001 0.086 0.031],0.00329
12,file1901_frac_21,8e-05,0.009,0.003,[0.007 0.005 0.004],3e-05
13,file1901_frac_22,0.0001,0.01,0.01,[0.001 0.009 0.004],4e-05
14,file1901_frac_23,0.00033,0.018,0.016,[0.004 0.017 0.004],0.0002
15,file1901_frac_24,3e-05,0.005,0.004,[0.002 0.005 0.002],1e-05
16,file1901_frac_25,2e-05,0.004,0.003,[0.002 0.002 0.003],1e-05
17,file1901_frac_26,4e-05,0.006,0.006,[0.    0.005 0.004],1e-05
18,file1901_frac_27,0.00013,0.011,0.011,[0.002 0.011 0.003],6e-05
19,file1901_frac_28,1e-05,0.002,0.001,[0.001 0.001 0.001],0.0
20,file1901_frac_29,0.0,0.002,0.001,[0.001 0.001 0.002],0.0
21,file1901_frac_3,3e-05,0.005,0.001,[0.004 0.003 0.001],1e-05
22,file1901_frac_30,3e-05,0.005,0.001,[0.004 0.003 0.002],1e-05
23,file1901_frac_32,0.00014,0.012,0.009,[0.005 0.008 0.007],5e-05
24,file1901_frac_33,2e-05,0.005,0.002,[0.003 0.004 0.001],1e-05
25,file1901_frac_34,1e-05,0.003,0.003,[0.001 0.002 0.003],0.0
26,file1901_frac_35,3e-05,0.005,0.004,[0.002 0.004 0.003],1e-05
27,file1901_frac_36,0.00079,0.028,0.028,[0.001 0.026 0.011],0.0003
28,file1901_frac_37,1e-05,0.004,0.002,[0.003 0.002 0.002],0.0
29,file1901_frac_38,4e-05,0.006,0.006,[0.001 0.006 0.002],1e-05
30,file1901_frac_39,0.00121,0.035,0.016,[0.022 0.024 0.013],0.00064
31,file1901_frac_40,4e-05,0.006,0.005,[0.002 0.003 0.005],1e-05
32,file1901_frac_41,2e-05,0.005,0.002,[0.003 0.003 0.002],1e-05
33,file1901_frac_43,0.02501,0.158,0.155,[0.025 0.146 0.055],0.00957
34,file1901_frac_44,6e-05,0.008,0.008,[0.001 0.008 0.002],3e-05
35,file1901_frac_6,0.02699,0.164,0.163,[0.009 0.15  0.066],0.00991
36,file1901_frac_7,3e-05,0.006,0.005,[0.    0.005 0.002],1e-05
37,file1901_frac_8,2e-05,0.005,0.003,[0.001 0.003 0.004],1e-05
38,file1901_frac_9,2e-05,0.004,0.004,[0.001 0.003 0.003],1e-05
