,filename,msePTC,rmsePTC,distCNTRD,"rmsePTC (x,y,z)",stdPTC
0,file1900_frac_1,7e-05,0.008,0.008,[0.    0.007 0.004],2e-05
1,file1900_frac_10,3e-05,0.006,0.005,[0.001 0.006 0.002],2e-05
2,file1900_frac_11,7e-05,0.008,0.005,[0.005 0.006 0.004],3e-05
3,file1900_frac_12,0.0,0.001,0.001,[0.    0.    0.001],0.0
4,file1900_frac_13,1e-05,0.003,0.003,[0.001 0.003 0.001],0.0
5,file1900_frac_14,1e-05,0.003,0.002,[0.001 0.002 0.001],0.0
6,file1900_frac_15,0.0,0.001,0.001,[0.001 0.    0.001],0.0
7,file1900_frac_16,0.00084,0.029,0.029,[0.001 0.028 0.008],0.00037
8,file1900_frac_17,1e-05,0.004,0.003,[0.001 0.003 0.002],0.0
9,file1900_frac_18,0.00027,0.016,0.015,[0.006 0.013 0.007],9e-05
10,file1900_frac_19,0.00021,0.015,0.015,[0.001 0.015 0.001],0.0001
11,file1900_frac_2,0.00069,0.026,0.026,[0.005 0.025 0.005],0.0003
12,file1900_frac_20,1e-05,0.003,0.003,[0.    0.002 0.003],0.0
13,file1900_frac_21,0.0005,0.022,0.021,[0.005 0.02  0.008],0.00018
14,file1900_frac_22,0.00025,0.016,0.015,[0.002 0.014 0.006],9e-05
15,file1900_frac_23,3e-05,0.006,0.005,[0.001 0.002 0.005],1e-05
16,file1900_frac_24,9e-05,0.01,0.009,[0.003 0.006 0.007],3e-05
17,file1900_frac_25,0.0,0.001,0.001,[0.    0.001 0.001],0.0
18,file1900_frac_26,2e-05,0.004,0.001,[0.002 0.002 0.004],1e-05
19,file1900_frac_27,0.0,0.002,0.002,[0.    0.002 0.001],0.0
20,file1900_frac_28,1e-05,0.004,0.003,[0.001 0.001 0.003],0.0
21,file1900_frac_29,3e-05,0.006,0.006,[0.001 0.005 0.002],1e-05
22,file1900_frac_3,0.0,0.001,0.001,[0.    0.    0.001],0.0
23,file1900_frac_30,2e-05,0.005,0.004,[0.001 0.003 0.003],1e-05
24,file1900_frac_31,3e-05,0.005,0.002,[0.004 0.003 0.003],1e-05
25,file1900_frac_32,0.00177,0.042,0.033,[0.015 0.036 0.016],0.00091
26,file1900_frac_33,0.00041,0.02,0.018,[0.006 0.015 0.011],0.00012
27,file1900_frac_34,0.00233,0.048,0.009,[0.036 0.031 0.01 ],0.00112
28,file1900_frac_35,0.00219,0.047,0.038,[0.016 0.042 0.012],0.00117
29,file1900_frac_36,0.00118,0.034,0.033,[0.007 0.031 0.014],0.00047
30,file1900_frac_38,1e-05,0.004,0.003,[0.001 0.003 0.002],0.0
31,file1900_frac_4,0.0,0.002,0.002,[0.    0.002 0.001],0.0
32,file1900_frac_40,9e-05,0.009,0.009,[0.    0.008 0.005],2e-05
33,file1900_frac_41,2e-05,0.004,0.002,[0.002 0.003 0.002],1e-05
34,file1900_frac_42,1e-05,0.003,0.002,[0.001 0.002 0.002],0.0
35,file1900_frac_43,1e-05,0.004,0.002,[0.002 0.002 0.002],0.0
36,file1900_frac_44,1e-05,0.004,0.004,[0.    0.002 0.003],0.0
37,file1900_frac_45,0.0,0.002,0.002,[0.    0.002 0.001],0.0
38,file1900_frac_46,0.00221,0.047,0.044,[0.014 0.042 0.016],0.00085
39,file1900_frac_5,1e-05,0.003,0.003,[0.    0.001 0.003],0.0
40,file1900_frac_6,1e-05,0.003,0.003,[0.    0.003 0.001],1e-05
41,file1900_frac_7,5e-05,0.007,0.002,[0.004 0.005 0.003],2e-05
42,file1900_frac_8,4e-05,0.006,0.003,[0.003 0.004 0.003],1e-05
43,file1900_frac_9,1e-05,0.003,0.003,[0.    0.003 0.001],0.0
