epoch,euclidean_distance_loss,loss,val_euclidean_distance_loss,val_loss
0,0.04039006307721138,0.04039006307721138,0.1303740292787552,0.1303740292787552
1,0.03255903348326683,0.03255903348326683,0.13802804052829742,0.13802804052829742
2,0.030690686777234077,0.030690686777234077,0.13559822738170624,0.13559822738170624
3,0.029476746916770935,0.029476746916770935,0.25620195269584656,0.25620195269584656
4,0.028808485716581345,0.028808485716581345,0.870543897151947,0.870543897151947
5,0.028896812349557877,0.028896812349557877,0.5180304050445557,0.5180304050445557
6,0.028161149471998215,0.028161149471998215,0.05468052253127098,0.05468052253127098
7,0.02802380919456482,0.02802380919456482,0.3182913661003113,0.3182913661003113
8,0.027725739404559135,0.027725739404559135,0.9691208600997925,0.9691208600997925
9,0.026957930997014046,0.026957930997014046,0.13280053436756134,0.13280053436756134
10,0.027102971449494362,0.027102971449494362,0.27038440108299255,0.27038440108299255
11,0.02645021304488182,0.02645021304488182,0.20672205090522766,0.20672205090522766
12,0.026391135528683662,0.026391135528683662,0.06304306536912918,0.06304306536912918
13,0.026203421875834465,0.026203421875834465,0.09289880841970444,0.09289880841970444
14,0.02589249797165394,0.02589249797165394,3.960672378540039,3.960672378540039
15,0.025980805978178978,0.025980805978178978,0.17138580977916718,0.17138580977916718
16,0.025796256959438324,0.025796256959438324,0.18945825099945068,0.18945825099945068
17,0.0256779994815588,0.0256779994815588,0.07975634187459946,0.07975634187459946
18,0.0254832673817873,0.0254832673817873,0.15982897579669952,0.15982897579669952
19,0.025802792981266975,0.025802792981266975,1.084302544593811,1.084302544593811
20,0.025350699201226234,0.025350699201226234,0.8174012303352356,0.8174012303352356
21,0.025307869538664818,0.025307869538664818,0.189650297164917,0.189650297164917
22,0.025068430230021477,0.025068430230021477,0.06729274243116379,0.06729274243116379
23,0.02476242557168007,0.02476242557168007,0.08212427794933319,0.08212427794933319
24,0.024663535878062248,0.024663535878062248,0.06780446320772171,0.06780446320772171
25,0.024582574144005775,0.024582574144005775,0.30148613452911377,0.30148613452911377
26,0.02457260712981224,0.02457260712981224,0.07773973792791367,0.07773973792791367
27,0.024439524859189987,0.024439524859189987,0.06848590821027756,0.06848590821027756
