,filename,msePTC,rmsePTC,distCNTRD,"rmsePTC (x,y,z)",stdPTC
0,file1902_frac_1,0.0005,0.022,0.013,[0.014 0.013 0.011],0.00015
1,file1902_frac_10,0.00122,0.035,0.035,[0.002 0.033 0.013],0.00048
2,file1902_frac_11,3e-05,0.006,0.005,[0.001 0.005 0.002],1e-05
3,file1902_frac_12,0.00019,0.014,0.013,[0.003 0.012 0.005],7e-05
4,file1902_frac_13,4e-05,0.006,0.006,[0.001 0.006 0.001],2e-05
5,file1902_frac_14,0.00018,0.013,0.012,[0.005 0.012 0.005],7e-05
6,file1902_frac_15,0.0,0.002,0.001,[0.    0.001 0.001],0.0
7,file1902_frac_16,3e-05,0.006,0.004,[0.003 0.002 0.004],1e-05
8,file1902_frac_17,0.00015,0.012,0.004,[0.005 0.008 0.007],6e-05
9,file1902_frac_19,0.00045,0.021,0.005,[0.018 0.002 0.011],0.00023
10,file1902_frac_2,3e-05,0.005,0.003,[0.003 0.004 0.002],1e-05
11,file1902_frac_20,0.00276,0.053,0.053,[0.001 0.051 0.013],0.00118
12,file1902_frac_21,6e-05,0.007,0.007,[0.001 0.007 0.002],2e-05
13,file1902_frac_22,0.00033,0.018,0.013,[0.012 0.012 0.006],0.00011
14,file1902_frac_23,0.00044,0.021,0.021,[0.003 0.02  0.006],0.00018
15,file1902_frac_24,1e-05,0.003,0.002,[0.001 0.001 0.002],0.0
16,file1902_frac_25,0.00149,0.039,0.03,[0.016 0.033 0.01 ],0.00077
17,file1902_frac_26,4e-05,0.006,0.005,[0.003 0.002 0.005],1e-05
18,file1902_frac_27,0.00044,0.021,0.021,[0.002 0.019 0.009],0.00016
19,file1902_frac_28,0.00014,0.012,0.011,[0.003 0.01  0.005],6e-05
20,file1902_frac_29,0.00062,0.025,0.004,[0.015 0.018 0.007],0.00026
21,file1902_frac_30,9e-05,0.009,0.009,[0.001 0.001 0.009],4e-05
22,file1902_frac_31,6e-05,0.007,0.005,[0.004 0.006 0.002],3e-05
23,file1902_frac_32,0.00079,0.028,0.026,[0.003 0.025 0.012],0.00029
24,file1902_frac_33,0.00011,0.011,0.011,[0.    0.009 0.005],4e-05
25,file1902_frac_34,0.00055,0.024,0.006,[0.011 0.013 0.016],0.00022
26,file1902_frac_35,3e-05,0.005,0.005,[0.001 0.004 0.003],1e-05
27,file1902_frac_36,2e-05,0.005,0.005,[0.    0.005 0.001],1e-05
28,file1902_frac_37,0.00024,0.016,0.015,[0.001 0.014 0.007],9e-05
29,file1902_frac_38,0.0002,0.014,0.008,[0.008 0.008 0.008],7e-05
30,file1902_frac_39,0.00016,0.013,0.012,[0.004 0.012 0.002],7e-05
31,file1902_frac_4,5e-05,0.007,0.007,[0.    0.005 0.005],1e-05
32,file1902_frac_40,0.0002,0.014,0.008,[0.009 0.006 0.01 ],9e-05
33,file1902_frac_41,0.00612,0.078,0.071,[0.027 0.069 0.026],0.00234
34,file1902_frac_42,0.00042,0.021,0.02,[0.005 0.019 0.006],0.00018
35,file1902_frac_43,0.00056,0.024,0.022,[0.007 0.022 0.006],0.00025
36,file1902_frac_44,1e-05,0.002,0.002,[0.    0.001 0.002],0.0
37,file1902_frac_45,0.00052,0.023,0.022,[0.004 0.021 0.007],0.00021
38,file1902_frac_46,5e-05,0.007,0.004,[0.003 0.006 0.002],3e-05
39,file1902_frac_47,2e-05,0.004,0.004,[0.    0.004 0.003],1e-05
40,file1902_frac_48,1e-05,0.003,0.001,[0.002 0.002 0.001],0.0
41,file1902_frac_49,0.00604,0.078,0.077,[0.007 0.074 0.022],0.00252
42,file1902_frac_5,0.0017,0.041,0.009,[0.031 0.023 0.014],0.00072
43,file1902_frac_6,0.001,0.032,0.005,[0.022 0.021 0.007],0.00043
44,file1902_frac_7,4e-05,0.006,0.003,[0.004 0.005 0.001],2e-05
45,file1902_frac_8,0.00037,0.019,0.018,[0.003 0.018 0.006],0.00016
46,file1902_frac_9,0.0001,0.01,0.006,[0.005 0.008 0.004],5e-05
